 	2
द्ः	3
द्अ	28
द्आ	10
द्इ	2
द्उ	6
द्ए	9
द्ऐ	2
द्ओ	1
द्क	316
द्ख	2
द्ग	20
द्घ	399
द्च	1
द्छ	1
द्ज	11
द्झ	1
द्ट	3
द्ड	11
द्त	13
द्थ	1
द्द	2256
द्ध	5730
द्न	53
द्प	33
द्ब	77
द्भ	126
द्म	180
द्य	7056
द्र	5422
द्ल	117
द्व	1915
द्श	8
द्स	75
द्ह	55
द्ु	1
द््	7
द्।	1
द्१	2
द्२	1
द्९	1
ध	59914
ध्	7740
ध्इ	1
ध्क	4
ध्छ	7
ध्ज	1
ध्थ	1
ध्द	32
ध्ध	3
ध्न	62
ध्प	1
ध्म	1
ध्य	7400
ध्र	120
ध्ल	1
ध्व	104
ध्ष	1
ध्स	1
न	489664
न्	93835
न्ः	6
न्अ	110
न्आ	49
न्इ	6
न्ई	3
न्उ	121
न्ऊ	1
न्ऋ	1
न्ए	28
न्ओ	4
न्औ	1
न्क	401
न्ख	23
न्ग	72
न्घ	8
न्च	303
न्छ	9544
न्ज	1016
न्झ	53
न्ट	1964
न्ठ	23
न्ड	1290
न्ण	1
न्त	17386
न्थ	868
न्द	15812
न्ध	6619
न्न	12095
न्प	131
न्फ	119
न्ब	114
न्भ	735
न्म	984
न्य	6308
न्र	436
न्ल	86
न्व	1465
न्श	37
न्ष	23
न्स	2802
न्ह	211
न्ऽ	1
न्ि	1
न्ु	3
न्ू	2
न्े	1
न््	7
न्।	11823
न्१	217
न्२	506
न्४	1
न्५	9
न्६	3
न्७	1
न्९	1
प	233128
प्	54822
प्क	41
प्ख	1
प्च	24
प्छ	14
प्ज	1
प्ट	296
प्ठ	115
प्ड	1
प्ण	1
प्त	3294
प्द	40
प्न	478
प्प	419
प्फ	2
प्म	1
प्य	862
प्र	48157
प्ल	654
प्व	50
प्श	5
प्स	360
प्ि	3
प्ी	2
प्ू	1
फ	28814
फ्	4507
फ्ग	2
फ्ज	1
फ्ट	185
फ्ठ	2
फ्त	24
फ्थ	7
फ्द	1
फ्न	3336
फ्प	1
फ्फ	8
फ्ब	1
फ्य	122
फ्र	576
फ्ल	229
फ्व	4
फ्स	7
फ्ि	1
ब	118708
ब्	4602
ब्अ	1
ब्इ	1
ब्ए	1
ब्क	2
ब्ग	2
ब्च	1
ब्छ	1
ब्ज	221
ब्ट	1
ब्त	1
ब्थ	1
ब्द	380
ब्ध	948
ब्न	18
ब्प	1
ब्ब	234
ब्भ	1
ब्य	1342
ब्र	930
ब्ल	381
ब्व	61
ब्स	59
ब्ह	10
ब्ी	1
ब्ृ	1
ब्।	1
ब्०	1
भ	99349
भ्	1792
भ्क	2
भ्ख	1
भ्झ	2
भ्ञ	3
भ्ड	1
भ्ध	1
भ्न	23
भ्ब	1
भ्भ	3
भ्म	3
भ्य	509
भ्र	1185
भ्ल	4
भ्व	16
भ्स	35
भ्ह	2
भ्।	1
म	311187
म्	32962
म्ँ	3
म्अ	30
म्आ	20
म्इ	2
म्उ	22
म्ए	8
म्ऐ	4
म्औ	3
म्क	232
म्ख	9
म्ग	20
म्घ	16
म्च	89
म्छ	5
म्ज	65
म्झ	976
म्ट	22
म्ठ	11
म्ड	7
म्ढ	1
म्त	640
म्थ	2
म्द	451
म्ध	2
म्न	385
म्प	7799
म्फ	35
म्ब	6639
म्भ	1883
म्म	7779
म्य	1629
म्र	2697
म्ल	261
म्व	617
म्श	47
म्ष	1
म्स	350
म्ह	161
म्ा	1
म्ि	1
म्ै	1
म्ो	1
म्फ़	4
म्।	27
म्१	2
म्२	2
य	222406
य्	33
य्ब	1
य्म	4
य्य	10
य्र	12
य्ल	2
य्व	3
य्स	1
र	611103
र्	128233
र्ं	4
र्ः	1
र्अ	3
र्आ	1
र्इ	149
र्ई	37
र्उ	2
र्ए	3
र्औ	1
र्क	4316
र्ख	732
र्ग	2592
र्घ	715
र्च	2147
र्छ	3392
र्ज	3264
र्झ	3
र्ट	2354
र्ठ	2
र्ड	1259
र्ढ	5
र्ण	4886
र्त	6088
र्थ	6696
र्द	8882
र्ध	1276
र्न	29975
र्प	616
र्फ	2656
र्ब	1513
र्भ	1010
र्म	7759
र्य	17115
र्र	789
र्ल	426
र्व	6748
र्श	1296
र्ष	7830
र्स	1486
र्ह	71
र्ा	13
र्ी	13
र्ु	28
र्ू	37
र्े	6
र्ौ	1
र््	29
र्।	1
र्०	2
र्२	1
र्३	1
र्४	1
ऱ	512
ऱ्	512
ऱ्थ	1
ऱ्य	502
ऱ्ह	9
ल	283487
ल्	23106
ल्ँ	1
ल्इ	1
ल्ऋ	1
ल्ए	1
ल्क	862
ल्ख	24
ल्ग	62
ल्घ	1
ल्च	208
ल्छ	230
ल्ज	46
ल्झ	44
ल्ट	709
ल्ठ	15
ल्ड	438
ल्त	149
ल्थ	71
ल्द	799
ल्ध	27
ल्न	2424
ल्प	966
ल्फ	46
ल्ब	91
ल्भ	59
ल्म	579
ल्य	4735
ल्र	88
ल्ल	9945
ल्व	62
ल्श	1
ल्स	341
ल्ह	77
ल्ा	1
ल्ि	1
ल्े	1
व	173043
व्	12159
व्क	1
व्ग	1
व्ज	7
व्ड	1
व्द	35
व्ध	48
व्न	1
व्ब	1
व्म	3
व्य	11641
व्र	326
व्ल	13
व्व	13
व्श	1
व्स	3
व्ह	64
श	58719
श्	13319
श्ँ	1
श्क	66
श्ङ	1
श्च	1606
श्ट	6
श्त	6
श्थ	25
श्द	1
श्न	451
श्प	15
श्फ	2
श्ब	3
श्भ	1
श्म	126
श्य	2938
श्र	4392
श्ल	300
